request_id,slo_factor,arrival_time
0,11.7082,1.2656
1,14.8522,2.9565
2,18.8918,3.2824
3,9.4076,3.339
4,3.6157,4.1407
5,4.4101,5.1193
6,11.973,5.2178
7,3.2833,6.7492
8,16.4369,6.9635
9,3.1652,7.9882
10,9.3278,8.2799
11,8.1001,8.6117
12,15.9676,10.8329
13,10.5049,13.199
14,3.7629,13.3799
15,15.2786,15.6907
16,18.102,15.871
17,13.1073,16.7519
18,10.5297,17.4682
19,12.0945,17.7304
20,3.6755,20.5357
21,7.9831,20.85
22,12.0547,22.4244
23,14.5957,22.5295
24,10.5416,23.0273
25,19.4534,24.3243
26,9.0226,24.5847
27,12.6806,24.6551
28,18.5759,24.9653
29,6.3573,24.9924
30,11.4494,27.9274
31,5.5576,28.6102
32,2.051,29.2475
33,10.6541,33.2423
34,16.7121,34.0507
35,9.0541,34.5795
36,17.0368,34.7927
37,6.5481,36.1679
38,7.508,37.1823
39,10.9134,40.1872
40,5.8692,40.3679
41,8.796,43.6368
42,18.0359,45.4103
43,15.5555,46.5445
44,1.6118,48.0932
45,1.273,48.1055
46,12.4791,48.431
47,2.4587,49.5423
48,2.4233,49.5862
49,17.9406,51.0263
50,5.2631,52.4988
51,9.0024,52.8247
52,15.3392,53.2138
53,7.9399,53.9431
54,16.1776,54.2328
55,1.4564,54.673
56,9.1482,57.2706
57,9.7301,57.9297
58,12.8359,57.942
59,2.495,58.3129
60,14.4688,58.9951
61,14.899,62.5879
62,17.9208,62.9711
63,1.2247,63.0855
64,8.1326,65.1634
65,10.9708,66.412
66,6.7618,68.6513
67,6.8839,69.7971
68,4.3245,72.4466
69,15.4843,73.3012
70,13.504,73.5911
71,19.9323,73.8507
72,15.2343,74.0539
73,12.8913,74.2708
74,17.5976,74.2933
75,15.3538,76.4824
76,18.5821,76.7164
77,16.1216,76.7196
78,2.69,77.1091
79,8.8765,77.4888
80,15.699,78.3843
81,4.009,79.4523
82,15.2661,80.3906
83,13.359,82.4426
84,11.8724,83.4357
85,10.5344,88.5343
86,19.3521,89.0594
87,16.3689,90.2593
88,5.5851,91.1456
89,12.4734,91.7664
90,16.8412,92.0013
91,16.1093,93.1257
92,2.5846,96.0692
93,15.9556,96.3957
94,8.0128,96.594
95,13.6513,98.9206
96,11.6099,100.5354
97,9.5069,100.6374
98,15.8767,103.7587
99,5.3871,104.6664
100,17.4071,107.0401
101,6.9193,108.3718
102,16.2978,108.9106
103,14.7916,109.6778
104,16.0423,109.6993
105,2.3418,109.8178
106,7.7928,110.4042
107,4.939,112.7895
108,9.5054,113.3598
109,3.8143,116.5711
110,17.0662,116.859
111,11.4093,117.8021
112,10.3972,119.3336
113,15.0556,119.9548
114,1.5177,120.9119
115,3.3155,121.2977
116,19.2598,124.4156
117,6.5394,125.3709
118,3.5256,127.9046
119,19.3823,128.3924
120,3.2645,131.8562
121,12.6495,132.4433
122,7.5801,133.4953
123,11.0797,133.8725
124,8.6646,135.9415
125,3.1085,136.2681
126,15.0114,136.8476
127,6.2529,136.8611
128,2.5783,140.892
129,17.9441,141.1818
130,5.3133,141.4723
131,10.9148,141.6031
132,12.5188,142.0079
133,19.8985,142.7531
134,7.011,143.4561
135,12.5388,144.2537
136,1.3625,144.9509
137,12.5018,146.495
138,13.8136,147.3652
139,5.8665,147.8032
140,10.3144,148.9126
141,8.7216,149.2975
142,4.5599,149.7166
143,12.1472,150.2495
144,2.197,150.8025
145,6.3861,151.2366
146,14.919,152.2819
147,19.6559,153.5008
148,19.0225,153.5168
149,4.0114,153.7825
150,8.7607,156.7477
151,12.1968,161.3954
152,5.4776,161.8592
153,6.6612,162.8094
154,7.8344,162.8232
155,11.2406,165.556
156,11.4744,167.1741
157,5.0463,168.008
158,8.9328,168.0385
159,11.5147,168.4214
160,2.6755,168.4702
161,14.2773,168.603
162,14.0135,168.9279
163,6.7712,169.8778
164,16.1702,170.2374
165,7.7899,171.3506
166,1.3117,173.5343
167,17.5979,173.7183
168,13.9503,174.8966
169,15.3826,175.5338
170,9.0966,176.0464
171,19.8276,177.4334
172,15.094,178.8746
173,9.7841,180.0868
174,13.374,181.6562
175,9.4242,182.3992
176,19.957,182.7772
177,2.131,183.9257
178,19.4603,184.2402
179,4.2161,184.3522
180,8.7254,185.2662
181,9.0315,185.5901
182,3.375,188.065
183,16.491,188.5331
184,18.316,189.0098
185,3.4277,189.2994
186,16.364,190.2818
187,15.0441,191.0154
188,11.3573,192.2836
189,13.8948,192.3768
190,1.1017,192.6077
191,9.8355,192.9809
192,19.2333,193.9364
193,12.3292,194.0266
194,12.9998,194.9043
195,17.7895,194.9363
196,6.0492,195.2137
197,7.0016,195.3123
198,11.8143,195.4466
199,15.2562,195.4544
200,8.8685,196.1848
201,16.1931,196.9015
202,15.7147,197.6902
203,4.6409,199.73
204,3.7047,202.1755
205,10.5251,203.3939
206,5.7415,203.5993
207,2.31,204.443
208,4.5501,205.13
209,4.9386,205.5971
210,15.3294,205.7337
211,17.7706,207.6564
212,7.0659,208.9265
213,6.0214,210.3759
214,18.4302,214.4552
215,1.7843,215.1423
216,17.4734,216.1257
217,1.0304,217.3243
218,10.9189,218.9701
219,9.9287,224.2432
220,6.2667,227.1599
221,13.713,227.984
222,13.0017,230.632
