instance_sn,role,app_name,creation_time,gpu_request
instance_7280,CN,app_22,0.0,0
instance_7281,CN,app_88,134.99999999999994,0
instance_7282,CN,app_88,0.0,0
instance_7283,CN,app_0,0.0,0
instance_7284,CN,app_46,0.0,0
instance_7285,CN,app_0,0.0,0
instance_7286,CN,app_42,60.99999999999994,0
instance_7287,CN,app_0,80.99999999999994,0
instance_7288,CN,app_27,211.99999999999994,0
instance_7289,CN,app_56,260.99999999999994,0
instance_7290,CN,app_88,262.99999999999994,0
instance_7291,CN,app_88,262.99999999999994,0
instance_7292,CN,app_54,562.0,0
instance_7293,CN,app_46,1165.0,0
instance_7294,CN,app_28,1942.0,0
instance_7295,CN,app_37,1943.0,0
instance_7296,CN,app_38,5212.0,0
instance_7297,CN,app_34,2962.0,0
instance_7298,CN,app_0,3360.000000000001,0
instance_7299,CN,app_0,3360.000000000001,0
instance_7300,HN,app_0,3498.000000000001,1
instance_7301,HN,app_0,3499.000000000001,1
instance_7302,HN,app_0,3537.000000000001,1
instance_7303,CN,app_27,3800.0,0
instance_7304,CN,app_27,3800.0,0
instance_7305,CN,app_27,3800.0,0
instance_7306,CN,app_27,3800.0,0
instance_7307,CN,app_0,4315.0,0
instance_7308,HN,app_23,4348.0,1
instance_7309,CN,app_88,5747.0,0
instance_7310,CN,app_82,5747.0,0
instance_7311,CN,app_19,5747.0,0
instance_7312,CN,app_89,5747.0,0
instance_7313,CN,app_14,6999.000000000001,0
instance_7314,CN,app_87,7060.000000000001,0
instance_7315,CN,app_35,8948.0,0
instance_7316,CN,app_18,7689.000000000001,0
instance_7317,CN,app_82,8032.0,0
instance_7318,CN,app_87,8499.0,0
instance_7319,HN,app_111,8649.0,1
instance_7320,HN,app_111,8649.0,1
instance_7321,CN,app_0,9159.0,0
instance_7322,CN,app_23,11205.0,0
instance_7323,CN,app_88,11206.0,0
instance_7324,HN,app_111,12618.0,1
instance_7325,CN,app_82,13066.0,0
instance_7326,CN,app_52,13889.0,0
instance_7327,CN,app_26,14929.000000000002,0
instance_7328,HN,app_90,15371.000000000002,1
instance_7329,HN,app_23,15372.000000000002,1
instance_7330,CN,app_35,15572.000000000002,0
instance_7331,CN,app_42,15811.000000000002,0
instance_7332,CN,app_35,15811.000000000002,0
instance_7333,CN,app_47,16705.0,0
instance_7334,CN,app_88,16705.0,0
instance_7335,CN,app_82,16705.0,0
instance_7336,CN,app_88,16705.0,0
instance_7337,CN,app_34,16705.0,0
instance_7338,CN,app_88,17160.0,0
instance_7339,CN,app_64,17161.0,0
instance_7340,CN,app_28,17612.0,0
instance_7341,CN,app_26,19034.0,0
instance_7342,CN,app_22,20472.0,0
instance_7343,CN,app_88,20772.0,0
instance_7344,CN,app_64,20772.0,0
instance_7345,CN,app_27,21433.0,0
instance_7346,CN,app_28,21732.0,0
instance_7347,CN,app_30,22362.0,0
instance_7348,CN,app_27,22362.0,0
instance_7349,CN,app_62,22489.0,0
instance_7350,CN,app_27,23818.0,0
instance_7351,CN,app_82,23921.0,0
instance_7352,CN,app_88,23921.0,0
instance_7353,CN,app_35,24043.0,0
instance_7354,CN,app_18,24670.0,0
instance_7355,CN,app_28,24670.0,0
instance_7356,CN,app_21,25600.0,0
instance_7357,CN,app_87,26256.0,0
instance_7358,CN,app_44,26827.0,0
instance_7359,CN,app_26,26983.0,0
instance_7360,CN,app_30,28298.0,0
instance_7361,CN,app_13,28299.0,0
instance_7362,CN,app_87,29845.000000000004,0
instance_7363,CN,app_0,29846.000000000004,0
instance_7364,CN,app_0,30071.000000000004,0
instance_7365,CN,app_50,30424.000000000004,0
instance_7366,CN,app_64,30358.000000000004,0
instance_7367,CN,app_20,30758.000000000004,0
instance_7368,CN,app_22,30758.000000000004,0
instance_7369,CN,app_26,30758.000000000004,0
instance_7370,CN,app_91,30758.000000000004,0
instance_7371,CN,app_0,30758.000000000004,0
instance_7372,CN,app_52,30758.000000000004,0
instance_7373,CN,app_50,30810.000000000004,0
instance_7374,CN,app_0,30957.000000000004,0
instance_7375,CN,app_0,30957.000000000004,0
instance_7376,CN,app_27,30961.000000000004,0
instance_7377,CN,app_27,30961.000000000004,0
instance_7378,CN,app_0,31587.000000000004,0
instance_7379,HN,app_62,31886.000000000004,1
instance_7380,HN,app_23,31886.000000000004,1
instance_7381,CN,app_107,32444.0,0
instance_7382,CN,app_54,32530.0,0
instance_7383,CN,app_26,32969.0,0
instance_7384,CN,app_82,33131.0,0
instance_7385,CN,app_37,33459.0,0
instance_7386,CN,app_87,33870.0,0
instance_7387,CN,app_87,33870.0,0
instance_7388,CN,app_44,34560.0,0
instance_7389,CN,app_18,35510.0,0
instance_7390,CN,app_92,36559.0,0
instance_7391,CN,app_18,36844.0,0
instance_7392,CN,app_20,36844.0,0
instance_7393,CN,app_22,36844.0,0
instance_7394,CN,app_0,36844.0,0
instance_7395,CN,app_82,36845.0,0
instance_7396,CN,app_0,36845.0,0
instance_7397,CN,app_0,36845.0,0
instance_7398,HN,app_62,37378.0,1
instance_7399,HN,app_62,37378.0,1
instance_7400,CN,app_0,37415.0,0
instance_7401,CN,app_2,37445.0,0
instance_7402,CN,app_87,37509.0,0
instance_7403,CN,app_16,37534.0,0
instance_7404,CN,app_87,37564.0,0
instance_7405,CN,app_82,37565.0,0
instance_7406,CN,app_11,37744.0,0
instance_7407,CN,app_54,38595.0,0
instance_7408,CN,app_30,37804.0,0
instance_7409,CN,app_35,37849.0,0
instance_7410,CN,app_79,38597.0,0
instance_7411,CN,app_0,37924.0,0
instance_7412,CN,app_87,38024.0,0
instance_7413,CN,app_87,38074.0,0
instance_7414,CN,app_87,38088.0,0
instance_7415,CN,app_47,38173.0,0
instance_7416,CN,app_87,38195.0,0
instance_7417,CN,app_62,38324.0,0
instance_7418,CN,app_0,38628.0,0
instance_7419,CN,app_13,38630.0,0
instance_7420,CN,app_37,38676.0,0
instance_7421,CN,app_2,38945.0,0
instance_7422,CN,app_55,38945.0,0
instance_7423,CN,app_0,41146.0,0
instance_7424,CN,app_0,39545.0,0
instance_7425,CN,app_21,39545.0,0
instance_7426,CN,app_30,39545.0,0
instance_7427,CN,app_50,39547.0,0
instance_7428,CN,app_2,39547.0,0
instance_7429,CN,app_54,39805.0,0
instance_7430,CN,app_0,40209.0,0
instance_7431,CN,app_54,40620.0,0
instance_7432,CN,app_2,40695.0,0
instance_7433,CN,app_13,40538.0,0
instance_7434,CN,app_16,40805.0,0
instance_7435,CN,app_0,41892.0,0
instance_7436,CN,app_0,41196.0,0
instance_7437,CN,app_87,42253.0,0
instance_7438,CN,app_35,42253.0,0
instance_7439,HN,app_62,42879.0,1
instance_7440,CN,app_14,43003.0,0
instance_7441,CN,app_0,43162.0,0
instance_7442,CN,app_35,43963.0,0
instance_7443,HN,app_0,44362.0,1
instance_7444,CN,app_88,44806.0,0
instance_7445,CN,app_18,44805.0,0
instance_7446,CN,app_54,44805.0,0
instance_7447,CN,app_82,44805.0,0
instance_7448,CN,app_82,44805.0,0
instance_7449,CN,app_2,44805.0,0
instance_7450,CN,app_20,44806.0,0
instance_7451,CN,app_18,44805.0,0
instance_7452,CN,app_2,44806.0,0
instance_7453,CN,app_22,44806.0,0
instance_7454,CN,app_16,44806.0,0
instance_7455,CN,app_11,44806.0,0
instance_7456,CN,app_0,44806.0,0
instance_7457,CN,app_73,44806.0,0
instance_7458,CN,app_0,44806.0,0
instance_7459,CN,app_0,44806.0,0
instance_7460,CN,app_0,44806.0,0
instance_7461,CN,app_0,44806.0,0
instance_7462,CN,app_2,44806.0,0
instance_7463,CN,app_34,44806.0,0
instance_7464,CN,app_13,44806.0,0
instance_7465,CN,app_0,44806.0,0
instance_7466,CN,app_0,44806.0,0
instance_7467,CN,app_50,44806.0,0
instance_7468,CN,app_89,44806.0,0
instance_7469,CN,app_87,45136.0,0
instance_7470,CN,app_2,45227.0,0
instance_7471,CN,app_34,45617.0,0
instance_7472,CN,app_35,46071.0,0
instance_7473,CN,app_87,46071.0,0
instance_7474,CN,app_0,46071.0,0
instance_7475,CN,app_87,46401.0,0
instance_7476,CN,app_87,47326.0,0
instance_7477,HN,app_62,48392.0,1
instance_7478,CN,app_0,48891.0,0
instance_7479,CN,app_82,49232.0,0
instance_7480,CN,app_87,49231.0,0
instance_7481,CN,app_87,49231.0,0
instance_7482,CN,app_2,49231.0,0
instance_7483,CN,app_0,49232.0,0
instance_7484,CN,app_87,49321.0,0
instance_7485,CN,app_87,49351.0,0
instance_7486,CN,app_87,49352.0,0
instance_7487,CN,app_87,49381.0,0
instance_7488,CN,app_87,49411.0,0
instance_7489,CN,app_87,49891.0,0
instance_7490,CN,app_87,50041.0,0
instance_7491,CN,app_0,50062.0,0
instance_7492,CN,app_87,50821.0,0
instance_7493,CN,app_87,51513.0,0
instance_7494,HN,app_26,52246.0,1
instance_7495,HN,app_19,52246.0,1
instance_7496,HN,app_24,52248.0,1
instance_7497,HN,app_62,53900.0,1
instance_7498,CN,app_82,54161.0,0
instance_7499,CN,app_87,55074.0,0
instance_7500,CN,app_87,55074.0,0
instance_7501,CN,app_87,55104.0,0
instance_7502,HN,app_0,55132.0,1
instance_7503,HN,app_28,55137.0,1
instance_7504,HN,app_93,55141.0,1
instance_7505,HN,app_42,55144.0,1
instance_7506,HN,app_82,55149.0,1
instance_7507,HN,app_20,55152.0,1
instance_7508,HN,app_0,55152.0,1
instance_7509,HN,app_22,55157.0,1
instance_7510,HN,app_39,55170.0,1
instance_7511,HN,app_39,55183.0,1
instance_7512,HN,app_68,55190.0,1
instance_7513,HN,app_50,55222.0,1
instance_7514,HN,app_50,55259.0,1
instance_7515,CN,app_87,55628.0,0
instance_7516,CN,app_94,57459.0,0
instance_7517,CN,app_87,57459.0,0
instance_7518,CN,app_87,58088.00000000001,0
instance_7519,CN,app_87,58298.00000000001,0
instance_7520,CN,app_87,58709.00000000001,0
instance_7521,CN,app_87,59228.00000000001,0
instance_7522,CN,app_87,59429.00000000001,0
instance_7523,CN,app_94,61851.00000000001,0
instance_7524,HN,app_0,62257.00000000001,1
instance_7525,HN,app_0,62257.00000000001,1
instance_7526,CN,app_87,63038.00000000001,0
instance_7527,CN,app_87,63038.00000000001,0
instance_7528,CN,app_42,63099.00000000001,0
instance_7529,CN,app_87,63620.00000000001,0
instance_7530,CN,app_26,64368.00000000001,0
instance_7531,CN,app_35,65109.0,0
instance_7532,CN,app_87,65544.0,0
instance_7533,CN,app_87,65544.0,0
instance_7534,CN,app_87,65544.0,0
instance_7535,CN,app_87,65544.0,0
instance_7536,CN,app_87,65544.0,0
instance_7537,HN,app_0,65692.0,1
instance_7538,CN,app_87,65992.0,0
instance_7539,CN,app_35,67223.0,0
instance_7540,CN,app_0,67222.0,0
instance_7541,CN,app_87,67224.0,0
instance_7542,CN,app_35,67408.0,0
instance_7543,CN,app_42,68874.0,0
instance_7544,CN,app_87,69118.0,0
instance_7545,CN,app_87,70229.0,0
instance_7546,CN,app_87,71058.0,0
instance_7547,CN,app_87,71399.0,0
instance_7548,HN,app_0,72506.0,1
instance_7549,HN,app_0,72506.0,1
instance_7550,CN,app_87,73019.0,0
instance_7551,CN,app_87,73592.0,0
instance_7552,CN,app_87,74242.0,0
instance_7553,CN,app_35,74271.0,0
instance_7554,CN,app_35,74301.0,0
instance_7555,CN,app_87,74550.0,0
instance_7556,CN,app_35,74871.0,0
instance_7557,CN,app_87,75599.0,0
instance_7558,HN,app_0,75899.0,1
instance_7559,CN,app_87,76500.0,0
instance_7560,CN,app_62,77975.0,0
instance_7561,CN,app_88,78097.0,0
instance_7562,CN,app_16,78097.0,0
instance_7563,CN,app_29,78097.0,0
instance_7564,CN,app_87,78637.0,0
instance_7565,CN,app_87,78787.0,0
instance_7566,CN,app_56,78951.0,0
instance_7567,HN,app_0,79283.0,1
instance_7568,HN,app_0,79283.0,1
instance_7569,CN,app_87,80198.0,0
instance_7570,CN,app_20,83507.0,0
instance_7571,CN,app_0,83507.0,0
instance_7572,CN,app_35,83537.0,0
instance_7573,CN,app_42,83567.0,0
