name,num_gpu,gpu_spec,creation_time
openb-pod-0000,1,,0
openb-pod-0001,1,,427061
openb-pod-0002,1,,1558381
openb-pod-0003,1,,2690044
openb-pod-0004,1,,2758084
openb-pod-0005,0,,2759674
openb-pod-0006,1,,3019330
openb-pod-0007,1,,3019932
openb-pod-0008,1,,4130198
openb-pod-0009,1,V100M16|V100M32,4975773
openb-pod-0010,1,,5182092
openb-pod-0011,1,,6394537
openb-pod-0013,1,G2,6976821
openb-pod-0014,1,,8387257
openb-pod-0015,1,,8396307
openb-pod-0016,0,,8962274
openb-pod-0017,8,G2,9437497
openb-pod-0018,1,,9476974
openb-pod-0019,1,,9664050
openb-pod-0020,1,,9664123
openb-pod-0021,1,G2|P100|T4|V100M16|V100M32,9671707
openb-pod-0023,1,V100M16|V100M32,9766837
openb-pod-0024,1,,9818766
openb-pod-0025,1,,9823530
openb-pod-0026,1,,9924220
openb-pod-0027,1,,9941376
openb-pod-0028,1,,9949982
openb-pod-0029,1,,9955274
openb-pod-0030,1,,9957349
openb-pod-0031,1,,9961302
openb-pod-0032,1,P100,9963454
openb-pod-0033,1,V100M16|V100M32,9965463
openb-pod-0034,1,,9965619
openb-pod-0035,1,,9967058
openb-pod-0036,1,,9967204
openb-pod-0037,1,T4,9970479
openb-pod-0038,1,,9973579
openb-pod-0039,1,T4,9973948
openb-pod-0040,1,,9974338
openb-pod-0041,1,P100|V100M16|V100M32,9976185
openb-pod-0042,1,,9977555
openb-pod-0043,1,T4,9980855
openb-pod-0044,1,,9983856
openb-pod-0045,1,,9985207
openb-pod-0046,1,,9989432
openb-pod-0047,1,V100M16|V100M32,9989615
openb-pod-0048,0,,9992086
openb-pod-0049,0,,9992086
openb-pod-0050,0,,9992104
openb-pod-0051,1,P100,9993395
openb-pod-0052,1,,9993396
openb-pod-0053,1,G2,9993753
openb-pod-0054,1,,9997763
openb-pod-0055,1,P100|V100M16|V100M32,9999611
openb-pod-0056,1,,9999740
openb-pod-0057,1,,9999867
openb-pod-0058,1,,10000483
openb-pod-0059,1,T4,10000836
openb-pod-0060,0,,10000884
openb-pod-0061,1,,10001278
openb-pod-0062,1,P100,10001573
openb-pod-0063,1,,10001854
openb-pod-0064,1,V100M16|V100M32,10002519
openb-pod-0065,1,,10002813
openb-pod-0066,1,,10003114
openb-pod-0067,1,,10004799
openb-pod-0068,1,T4,10005625
openb-pod-0069,1,,10008375
openb-pod-0070,1,G2,10009087
openb-pod-0071,1,,10009222
openb-pod-0072,1,,10011081
openb-pod-0073,1,,10011177
openb-pod-0074,1,G3,10011398
openb-pod-0075,1,,10011759
openb-pod-0076,1,,10013436
openb-pod-0077,1,,10013677
openb-pod-0078,1,,10013797
openb-pod-0079,1,T4,10014736
openb-pod-0080,1,,10014814
openb-pod-0081,1,,10014946
openb-pod-0082,1,T4,10015701
openb-pod-0083,1,,10015833
openb-pod-0084,1,G2,10015849
openb-pod-0085,1,,10016935
openb-pod-0086,1,T4,10017162
openb-pod-0087,1,P100|T4|V100M16|V100M32,10017643
openb-pod-0088,1,,10017811
openb-pod-0089,1,,10018219
openb-pod-0090,1,,10018225
openb-pod-0091,1,,10018378
openb-pod-0092,1,,10018598
openb-pod-0093,1,,10018784
openb-pod-0094,1,,10019718
openb-pod-0095,1,T4,10019860
openb-pod-0096,1,V100M16|V100M32,10019975
openb-pod-0097,1,,10020010
openb-pod-0098,1,,10020315
openb-pod-0099,1,,10020698
openb-pod-0100,1,,10021257
openb-pod-0101,1,,10022297
openb-pod-0102,1,,10022793
openb-pod-0103,1,,10024130
openb-pod-0104,1,G2|P100|T4|V100M16|V100M32,10024695
openb-pod-0105,1,V100M16|V100M32,10024890
openb-pod-0106,1,,10025123
openb-pod-0107,1,V100M16|V100M32,10025364
openb-pod-0108,1,,10025530
openb-pod-0109,1,,10027236
openb-pod-0110,1,,10027236
openb-pod-0111,1,T4,10027446
openb-pod-0112,1,T4,10027539
openb-pod-0113,1,P100,10027911
openb-pod-0114,1,,10028213
openb-pod-0115,1,,10028677
openb-pod-0116,1,,10029041
openb-pod-0117,1,,10030787
openb-pod-0118,1,,10030840
openb-pod-0119,1,,10031736
openb-pod-0120,1,,10032059
openb-pod-0121,1,V100M16|V100M32,10032623
openb-pod-0122,1,,10032726
openb-pod-0123,1,P100|V100M16|V100M32,10032792
openb-pod-0124,1,,10033656
openb-pod-0125,1,,10033713
openb-pod-0126,1,T4,10033926
openb-pod-0127,1,,10034479
openb-pod-0128,8,,10034615
openb-pod-0129,1,V100M16|V100M32,10035396
openb-pod-0130,1,,10036115
openb-pod-0131,1,,10036187
