ContextTokens,GeneratedTokens,start_timestamp_ms
4808,10,0
3180,8,52
110,27,98
7433,14,140
34,12,444
374,14,539
6985,9,698
34,23,1016
1145,7,1299
201,24,1299
137,9,1398
7427,8,1399
1555,19,29479
3893,19,29580
1827,10,29610
394,17,29679
675,6,29717
7436,9,30177
158,26,30225
6587,18,30482
763,8,30503
1556,18,30983
5108,12,31285
159,127,31454
458,67,31455
2464,30,31640
4009,51,31807
1632,9,32627
2567,45,32707
730,36,33079
5108,10,33340
2569,7,33534
1832,7,33579
1630,9,33586
6587,13,33679
7436,6,33681
1044,16,33781
327,124,33880
1630,9,33983
3351,9,34284
1562,18,34445
3724,9,34878
328,43,34979
965,8,35034
6586,11,35347
2366,7,35354
328,40,35799
1513,29,35980
328,9,36280
2025,9,36649
2169,13,36704
74,14,36779
771,142,37379
76,18,37423
75,16,37898
527,27,38079
2024,97,38211
197,7,38680
109,12,38691
432,10,38887
2025,19,39080
6586,9,39285
7435,9,39327
2648,15,183061
2564,9,183157
3245,15,183159
2144,9,183260
2128,13,183458
7436,8,183459
250,6,183562
1177,23,183656
2743,38,183656
144,18,187159
88,19,187258
6819,82,187259
1179,13,187361
3154,9,187558
7435,13,187559
2656,11,187565
236,226,187661
90,25,188255
3631,15,188256
1901,20,188259
318,9,188262
4556,16,188354
5925,52,188362
43,33,188364
134,18,188366
163,13,188454
3286,15,188457
522,14,188458
583,6,188561
318,7,191098
147,17,191359
5025,17,191359
4557,9,191558
1468,6,191658
164,18,191658
584,24,191659
523,9,192162
61,9,192354
1724,11,192355
1891,16,192363
2507,6,192363
2147,22,192457
3066,6,192457
118,9,192460
2657,11,192460
4556,25,192461
5926,121,192560
7435,6,192563
149,20,192655
3658,6,195262
3397,7,195361
5927,21,195362
1894,7,195363
2647,6,195454
169,25,195462
138,29,195559
5928,6,195656
154,7,195659
1107,13,195660
1894,19,195759
2647,12,195959
1182,18,195960
1650,11,195962
5538,697,196054
526,7,196055
152,15,196256
4566,20,196259
7419,6,196357
46,25,196361
2862,13,196362
1724,32,196454
1724,16,196557
155,30,196561
81,15,196654
1650,13,196658
1364,9,196659
1908,22,196659
123,15,196661
81,7,196662
1724,15,196754
247,84,196760
3854,10,196765
83,6,196766
156,21,196862
247,71,196862
3066,12,196957
3517,11,196957
2081,6,196958
143,12,196961
2649,20,197060
2655,9,197157
1724,18,197257
2128,13,197262
3067,9,197357
2926,12,197361
1900,46,197460
2047,106,197460
5923,55,197461
2971,9,197560
2156,13,197561
573,6,197660
14,10,197661
232,6,197662
3284,7,197666
1364,9,197757
161,16,197759
316,23,197762
2084,16,197956
2068,11,197958
1180,39,197962
2654,17,198256
146,16,198261
318,11,198360
3288,10,198362
252,17,198458
35,14,198459
337,13,198556
109,6,198557
148,43,198559
985,27,198560
2136,8,198563
2657,7,198566
3289,15,198761
2136,12,198763
135,6,198857
181,105,198860
3399,10,198954
1067,9,198959
5831,11,198960
153,15,198960
527,7,198963
1905,17,198965
1293,25,198977
1180,6,199057
61,21,199058
1278,9,199073
65,10,199089
217,9,199173
287,9,199256
3064,15,199256
116,10,199256
1638,9,199259
3396,7,199259
2077,15,199373
