ContextTokens,GeneratedTokens,start_timestamp_ms
374,44,0
396,109,4314
879,55,4541
91,16,4710
91,16,5892
381,84,6311
1313,142,7745
388,84,8251
242,14,8337
209,152,8464
394,124,8700
394,59,9427
1315,174,9582
2221,15,10106
389,90,10546
415,106,11157
120,12,11430
369,74,11836
206,162,12886
1353,142,13025
197,152,13049
181,154,14059
388,54,14097
4085,62,14293
2584,170,17420
203,147,17792
126,194,18160
389,87,18463
2548,116,18979
91,16,19913
4081,74,19945
181,123,20478
191,217,20658
27,183,20941
203,217,21370
398,81,21375
126,172,22712
209,181,22994
209,181,23371
28,175,24146
437,88,24768
181,104,24894
203,138,25081
200,177,25223
4073,58,25249
91,16,25324
1087,401,25917
382,64,26254
412,102,26407
194,217,26461
203,217,27330
200,217,27552
64,174,28090
458,123,28353
1352,158,28578
874,404,28607
378,58,28764
91,16,29340
4074,50,29686
389,89,30181
212,183,31269
1085,394,31620
407,131,31760
396,82,31917
1029,399,32388
962,399,33235
203,217,33413
898,94,33491
181,253,33526
320,18,33645
1119,414,33748
124,157,33825
1313,179,33932
1096,383,34746
400,102,35294
1057,424,36138
203,162,36520
1314,216,36864
2,93,37124
1065,409,37475
372,60,38154
4094,82,38392
1104,394,38549
1075,415,38813
4088,37,39091
1225,372,39220
1118,426,39324
380,102,39637
1133,385,39645
42,167,40041
2590,50,40350
1140,377,40479
126,203,41125
431,84,41357
1115,421,42334
206,179,42529
400,91,42530
1123,396,42545
862,379,42563
859,422,42685
890,402,42691
1192,419,42715
899,403,42808
163,224,42999
181,212,43193
416,88,43589
1163,426,43609
243,14,43791
1041,428,43893
1350,146,43923
1104,396,44040
1127,426,44061
1114,414,44828
1083,396,45009
1313,173,45025
888,395,45104
13,130,45120
874,89,45174
1065,395,45246
1157,426,45502
1077,390,45530
2903,59,45980
4079,27,46102
1149,411,46190
996,389,46230
990,394,46406
197,183,46626
4107,49,46678
197,217,47209
1378,407,47459
1214,421,47734
1016,375,47925
1186,398,48032
4076,60,48045
1100,426,48134
218,217,48296
1232,419,48709
975,416,48995
209,217,49227
181,85,49561
1029,388,49587
888,418,49660
1113,375,49724
1035,520,49742
1009,425,49742
869,450,49832
1183,431,49878
972,395,50228
1097,396,50486
206,183,50631
181,208,50654
1316,200,50657
908,456,50741
1094,422,50894
996,422,50908
420,89,50995
1112,385,51121
1133,396,51365
890,403,51479
833,36,51621
1093,426,51678
206,211,51940
898,454,52120
1312,180,52227
1129,396,52248
375,67,52257
862,425,52883
167,179,53143
914,414,53172
209,217,53563
982,594,53706
200,161,53992
1313,156,54022
999,416,54117
1084,397,55083
399,106,55110
1065,594,55339
1036,446,56587
1243,398,56965
1128,384,57217
1000,375,57280
992,56,57414
920,87,57452
1040,388,57492
411,101,57503
900,91,57511
1018,425,57577
4082,44,57780
395,99,58265
209,217,58464
181,113,59993
1118,414,60172
972,392,60183
1847,53,60426
392,96,60648
197,217,60778
975,409,60831
1025,443,60872
1027,388,61145
1143,409,61263
1028,394,61285
874,402,61294
997,492,61764
72,245,61836
851,397,61838
408,91,61906
1113,531,61928
1313,170,62174
1083,426,62276
1139,394,62482
978,437,62843
26,146,63043
386,61,63112
1074,411,63597
209,162,64095
1099,455,64186
120,12,64888
126,173,64910
416,140,64935
4074,40,64940
394,83,64990
1043,399,65064
1099,396,65064
857,91,65066
209,217,65348
1109,365,65531
993,441,65715
888,418,65786
2294,72,66310
1141,388,66403
1067,394,66511
1116,423,66624
416,79,66655
1126,520,66693
203,179,66711
379,144,67245
56,164,67439
1232,410,67930
209,162,67933
206,162,67966
1083,378,68682
171,183,69017
982,429,70095
2208,87,70287
374,54,70457
1019,413,70913
126,205,70977
1147,396,71553
1078,428,71926
883,413,72258
169,217,72463
1094,429,72686
1001,427,72772
391,93,73069
4081,38,73139
1085,388,73188
1064,395,73284
1070,411,73501
972,575,73841
1099,394,74006
980,384,74046
1057,393,75304
1082,409,75627
1072,400,75726
385,98,75833
78,141,75862
412,100,76099
1027,388,76286
1146,466,76558
994,419,76749
846,108,77310
1140,430,77546
1059,649,78254
1354,200,78313
167,171,78684
1792,50,78707
40,134,78741
407,104,79246
1065,411,79316
181,241,79323
1314,137,79431
181,128,79466
163,205,79787
2,93,79788
1314,203,79817
1056,394,79996
978,442,80182
1217,565,80396
1056,398,80421
951,445,80895
1233,401,81144
1317,169,81628
1103,520,82066
887,375,82109
1123,396,82413
1095,379,82497
1079,419,82919
1073,420,83735
1147,413,83797
212,183,84029
411,81,84571
380,76,84588
2522,62,84597
990,468,84676
1106,414,84894
1117,396,84963
1147,396,85076
127,178,85469
1021,428,85732
